capture_id,protocol,motion,duration_s,imu_fused_position_records_excluded,position_events,position_event_rate_hz,position_active_event_rate_hz,position_unique_uptime_events,position_unique_uptime_rate_hz,position_active_unique_uptime_rate_hz,position_uptime_span_s,position_wall_span_s,position_wall_coverage_pct,position_first_event_after_capture_start_s,position_last_event_before_capture_end_s,position_duplicate_uptime_pct,position_gap_p50_ms,position_gap_p95_ms,position_gap_p99_ms,position_gap_max_ms,position_gaps_gt_30ms,position_gaps_gt_50ms,position_gaps_gt_100ms,position_independent_events,position_independent_rate_hz,position_independent_pct,position_sigma_median_m,position_sigma_p95_m,position_rms_median_m,position_rms_p95_m,position_batch_age_p95_ms,ekf_events,ekf_event_rate_hz,ekf_active_event_rate_hz,ekf_unique_uptime_events,ekf_unique_uptime_rate_hz,ekf_active_unique_uptime_rate_hz,ekf_uptime_span_s,ekf_wall_span_s,ekf_wall_coverage_pct,ekf_first_event_after_capture_start_s,ekf_last_event_before_capture_end_s,ekf_duplicate_uptime_pct,ekf_gap_p50_ms,ekf_gap_p95_ms,ekf_gap_p99_ms,ekf_gap_max_ms,ekf_gaps_gt_30ms,ekf_gaps_gt_50ms,ekf_gaps_gt_100ms,ekf_available_pct,ekf_held_events,ekf_held_pct,ekf_innovation_p95_m,imu_events,imu_event_rate_hz,imu_active_event_rate_hz,imu_unique_uptime_events,imu_unique_uptime_rate_hz,imu_active_unique_uptime_rate_hz,imu_uptime_span_s,imu_wall_span_s,imu_wall_coverage_pct,imu_first_event_after_capture_start_s,imu_last_event_before_capture_end_s,imu_duplicate_uptime_pct,imu_gap_p50_ms,imu_gap_p95_ms,imu_gap_p99_ms,imu_gap_max_ms,imu_gaps_gt_30ms,imu_gaps_gt_50ms,imu_gaps_gt_100ms,imu_valid_pct,static_n,ekf_static_n,jump_step_speed_n,jump_step_speed_p95_mps,jump_step_speed_p99_mps,jump_step_speed_max_mps,jump_step_speed_gt_3mps,jump_step_speed_gt_5mps,jump_step_speed_gt_10mps,ekf_jump_step_speed_n,ekf_jump_step_speed_p95_mps,ekf_jump_step_speed_p99_mps,ekf_jump_step_speed_max_mps,ekf_jump_step_speed_gt_3mps,ekf_jump_step_speed_gt_5mps,ekf_jump_step_speed_gt_10mps,rtk_tag_total,rtk_tag_valid,rtk_tag_fixed,rtk_tag_fixed_pct,rtk_tag_fix_age_p95_ms,rtk_all_modules_fixed_pct,rtk_fixed_anchor_count,rtk_anchor_spread_p95_m_max,rtk_tag_center_east_m,rtk_tag_center_north_m,rtk_tag_center_up_m,error_pairs,error_fixed_tag_solutions,error_pair_coverage_pct,error_association_abs_p50_ms,error_association_abs_p95_ms,error_association_abs_max_ms,error_bias_east_mean_m,error_bias_north_mean_m,error_bias_east_median_m,error_bias_north_median_m,error_error_median_m,error_error_rmse_m,error_error_p95_m,error_error_max_m,error_error_gt_0_5m,error_error_gt_1m,error_error_gt_2m,error_debiased_error_rmse_m,error_debiased_error_p95_m,error_debiased_error_max_m,ekf_error_pairs,ekf_error_fixed_tag_solutions,ekf_error_pair_coverage_pct,ekf_error_association_abs_p50_ms,ekf_error_association_abs_p95_ms,ekf_error_association_abs_max_ms,ekf_error_bias_east_mean_m,ekf_error_bias_north_mean_m,ekf_error_bias_east_median_m,ekf_error_bias_north_median_m,ekf_error_error_median_m,ekf_error_error_rmse_m,ekf_error_error_p95_m,ekf_error_error_max_m,ekf_error_error_gt_0_5m,ekf_error_error_gt_1m,ekf_error_error_gt_2m,ekf_error_debiased_error_rmse_m,ekf_error_debiased_error_p95_m,ekf_error_debiased_error_max_m,static_median_x_m,static_median_y_m,static_cep50_m,static_rms_m,static_p95_m,static_p99_m,static_max_m,static_std_x_m,static_std_y_m,static_two_drms_m,static_first_to_last_decile_drift_m,ekf_static_median_x_m,ekf_static_median_y_m,ekf_static_cep50_m,ekf_static_rms_m,ekf_static_p95_m,ekf_static_p99_m,ekf_static_max_m,ekf_static_std_x_m,ekf_static_std_y_m,ekf_static_two_drms_m,ekf_static_first_to_last_decile_drift_m,static_rtk_reference_consistent,static_rtk_max_cross_capture_center_distance_m,error_interpretation_grade
flextdoa_final_dynamic_20260812,flextdoa,dynamic,84.63700008392334,0,2117,25.012701276047718,25.068119891008177,2112,24.953625458201596,25.00888520317498,84.41,84.3967034816742,99.71608563392975,-0.0007812976837158203,0.24107789993286133,0.2361832782239004,30.0,70.0,130.0,830.0,1040,248,28,2117,25.012701276047718,100.0,0.165,0.2694000000000001,0.165,0.2694000000000001,,2117,25.012701276047718,25.068119891008177,2112,24.953625458201596,25.00888520317498,84.41,84.3967034816742,99.71608563392975,-0.0007812976837158203,0.24107789993286133,0.2361832782239004,30.0,70.0,130.0,830.0,1040,248,28,100.0,0,0.0,0.2512598635191679,0,0.0,,0,0.0,,,,,,,,,,,,0,0,0,,0,0,2111,6.042935292704619,10.42339732852257,16.77647161950333,427,177,28,2111,4.311192514879638,7.0914797782442065,14.490537343027002,267,67,5,676,676,668,98.81656804733728,,70.76923076923077,4,0.030539489023150082,0.7168192972016525,-1.9441584192844141,0.9539994800379192,656,668,98.20359281437126,4.853367805480957,34.918904304504395,86.81559562683105,-0.04029181041789636,1.5677980694143219,-0.08994257691482443,1.6558757365565482,1.67872011587144,1.6095567557652286,1.8275501384591553,2.3149153076873774,656,633,18,0.3758744572944684,0.703091005736854,0.9627123800481752,656,668,98.20359281437126,4.853367805480957,34.918904304504395,86.81559562683105,-0.041259798252508216,1.5681835699220867,-0.09295342264909967,1.6657250284072838,1.6798457146195684,1.6092107156140019,1.8278995218817808,2.3149153076873774,656,635,15,0.3752913724670267,0.7052408753071752,0.9650443050945885,,,,,,,,,,,,,,,,,,,,,,,,,
flextdoa_static_final_01,flextdoa,static,30.341198444366455,0,798,26.30087277083701,26.611018363939902,796,26.23495579647401,26.544240400667782,29.95,29.986701726913452,98.83163244819414,-0.06676435470581055,0.4212610721588135,0.25062656641604564,30.0,70.0,100.0,120.0,382,75,7,798,26.30087277083701,100.0,0.176,0.202,0.176,0.202,,798,26.30087277083701,26.611018363939902,796,26.23495579647401,26.544240400667782,29.95,29.986701726913452,98.83163244819414,-0.06676435470581055,0.4212610721588135,0.25062656641604564,30.0,70.0,100.0,120.0,382,75,7,100.0,0,0.0,0.046639724230731226,0,0.0,,0,0.0,,,,,,,,,,,,0,0,0,,798,798,795,1.968050322436248,3.2938181010544842,7.741446893184713,10,1,0,795,0.3556487853364432,0.6058757681690752,1.6389169483558255,0,0,0,240,240,137,57.083333333333336,,42.22599830076466,3,0.011159852706790856,0.8908397151378292,0.3178036775496098,-0.7810000705304243,137,137,100.0,1.8754005432128906,33.1942081451416,57.692766189575195,0.2302526515169736,-0.5523069694819743,0.23179828615066123,-0.5523585825087024,0.596377198344057,0.5989093022846622,0.62878102619841,0.6659296406415458,137,0,0,0.025208568869869795,0.04768130059512063,0.07546960502588516,137,137,100.0,1.8754005432128906,33.1942081451416,57.692766189575195,0.22981653007714964,-0.5535169160357295,0.2300961208118515,-0.5537856597380236,0.5995426719366957,0.5994310697310945,0.6170590229914312,0.6229128687772946,137,0,0,0.011006539815695444,0.019611428531512067,0.02538691247997989,2.037,4.001,0.01910497317454258,0.024068511235278076,0.042976122330030606,0.05728079940131199,0.07382411530116653,0.014543027030971495,0.019150255618696363,0.04809290698159051,0.008246211251235274,2.0372210402844972,3.999815238277689,0.00917830119250997,0.010656234848950565,0.017955440744088568,0.02245741422571746,0.02692690861226213,0.006626328303772284,0.00835358373349466,0.021325157723391427,0.0025771887201772657,False,2.1271904716651413,audit_only_invalid_for_cross_protocol_ranking
native_ds_final_dynamic_20260812,native_ds,dynamic,113.45000004768372,0,2876,25.35037460371265,25.66276890118718,2876,25.35037460371265,25.66276890118718,112.03,112.02871441841125,98.7472140778536,-0.011484146118164062,1.432769775390625,0.0,40.0,50.0,70.0,130.0,2124,122,2,2876,25.35037460371265,100.0,0.083,0.203,0.074,0.191,,2876,25.35037460371265,25.66276890118718,2876,25.35037460371265,25.66276890118718,112.03,112.02871441841125,98.7472140778536,-0.011484146118164062,1.432769775390625,0.0,40.0,50.0,70.0,130.0,2124,122,2,100.0,0,0.0,0.2205623069996358,0,0.0,,0,0.0,,,,,,,,,,,,0,0,0,,0,0,2875,7.151439615368279,10.377886682679478,20.6076576921191,976,379,34,2875,3.444177413090994,6.700269264114639,15.430562924463466,209,48,9,896,896,633,70.64732142857143,,50.100513736877375,4,0.016508157195607512,0.4748490296220783,-0.933965330229481,2.8159999121492865,633,633,100.0,6.525278091430664,18.521499633789062,42.34051704406738,0.08379128752571509,1.3421967289062686,0.701575217684386,1.2970317957093793,1.4835967172961078,1.6939459090774036,2.3913096819794757,2.6287914025732046,633,633,161,1.2019303471837044,2.4575961818142322,2.626622701472583,633,633,100.0,6.525278091430664,18.521499633789062,42.34051704406738,0.0807653847018061,1.365729754266703,0.7047261938332922,1.2788271821093935,1.4640453077919493,1.7097453218641443,2.3717085727138505,2.602314512182332,633,633,161,1.2034813687633397,2.4570501054237495,2.6006399666676363,,,,,,,,,,,,,,,,,,,,,,,,,
native_ds_static_final_02_rtk_fixed,native_ds,static,30.128157377243042,0,780,25.88940273490353,25.949367088607595,780,25.88940273490353,25.949367088607595,30.02,30.01676344871521,99.63026637463075,-0.03957200050354004,0.15096592903137207,0.0,40.0,50.0,60.0,80.0,567,28,0,780,25.88940273490353,100.0,0.078,0.1,0.076,0.097,,780,25.88940273490353,25.949367088607595,780,25.88940273490353,25.949367088607595,30.02,30.01676344871521,99.63026637463075,-0.03957200050354004,0.15096592903137207,0.0,40.0,50.0,60.0,80.0,567,28,0,100.0,0,0.0,0.04225097319475903,0,0.0,,0,0.0,,,,,,,,,,,,0,0,0,,780,780,779,1.612172517639303,3.0552873438751944,5.161879502661783,8,1,0,779,0.22993327749484818,0.32339301107405166,0.4548209213713897,0,0,0,240,240,240,100.0,,29.592684954280966,2,0.005374632004900867,2.032063758009242,-1.4773417167611667,-2.0700004960387863,0,240,0.0,,,,,,,,,,,,,,,,,,0,240,0.0,,,,,,,,,,,,,,,,,,2.03,4.014,0.01720465053408527,0.0244538550261718,0.03946390139268826,0.08811718125983185,0.12303251602726839,0.012186096029514079,0.02089671812540176,0.048380730248851485,0.006670832032063996,2.0313098845664865,4.0115974958392115,0.00674708344614911,0.008855385657104815,0.015930112597848295,0.023972532165712615,0.03691484527504534,0.004493550641186439,0.00760567375128468,0.017667854490671788,0.0036577861955106945,False,2.1271904716651413,audit_only_invalid_for_cross_protocol_ranking
passive_ds_final_dynamic_20260812,passive_ds,dynamic,106.45299983024597,0,7463,70.10605630560703,70.11181057972375,7294,68.51850123182335,68.52391243070562,106.43,106.43430519104004,99.98243859803317,-0.012351274490356445,0.031045913696289062,2.264504890794583,10.0,30.0,80.0,250.0,332,152,28,2409,22.62970516417089,32.27924427174059,0.031,0.067,0.088,0.18,65.0,2409,22.62970516417089,22.635833803346493,2409,22.62970516417089,22.635833803346493,106.38,106.381671667099,99.93299562881204,-0.0059239864349365234,0.07725214958190918,0.0,30.0,100.0,160.0,500.0,1092,431,91,100.0,695,28.85014528850145,0.2160309815093848,0,0.0,,0,0.0,,,,,,,,,,,,0,0,0,,0,0,2408,4.656052372762227,7.347611100186519,20.856893344887222,344,96,8,2408,4.498072628672133,6.859426902548367,20.860142855174924,320,91,4,862,862,747,86.65893271461717,,66.41912276630309,3,0.03950433693170757,1.6289529436510004,-0.512485932649124,-0.04900088207645065,726,747,97.18875502008032,3.56900691986084,45.8032488822937,94.82240676879883,-0.08325596844476829,1.3072452014637435,-0.04221349052190637,1.3067836224989167,1.410636437697927,1.396631260461732,1.555492480076304,1.8040453363129694,726,724,0,0.4862530233494245,0.616380739128244,0.78583509972524,726,747,97.18875502008032,3.56900691986084,45.8032488822937,94.82240676879883,-0.08126034064706607,1.3071658822189685,-0.04075563647027003,1.3027810481845061,1.4109879575843571,1.395483239331292,1.55438983987961,1.8037661554988567,726,724,0,0.48347434521920984,0.6163869055895966,0.7863296899555766,,,,,,,,,,,,,,,,,,,,,,,,,
passive_ds_static_final_01,passive_ds,static,31.21443772315979,0,1906,61.061487536769846,63.43656343656343,1885,60.38872193431855,62.73726273726273,30.03,30.03307580947876,96.21533495442556,-0.025326251983642578,1.2066881656646729,1.1017838405036673,10.0,40.0,71.70000000000073,130.0,105,40,6,607,19.446129556568362,31.846799580272823,0.038,0.048,0.112,0.142,65.0,607,19.446129556568362,20.193268910363212,607,19.446129556568362,20.193268910363212,30.01,30.01382279396057,96.15365511354891,-0.0060732364654541016,1.2066881656646729,0.0,40.0,100.0,159.0000000000009,260.0,402,149,28,100.0,607,100.0,0.040871750635371566,0,0.0,,0,0.0,,,,,,,,,,,,0,0,0,,607,607,606,1.6198301790601721,2.0144147275168454,2.68162471481584,0,0,0,606,0.0,0.0,0.0,0,0,0,240,240,240,100.0,,27.371048252911812,1,0.005855358719981408,1.6394803320683968,-0.5313763572157745,-0.46500023113511146,0,240,0.0,,,,,,,,,,,,,,,,,,0,240,0.0,,,,,,,,,,,,,,,,,,2.038,4.002,0.018788294228056255,0.022623812737924128,0.039364931467662435,0.049323747392005686,0.05515432893255041,0.01277829926545761,0.018683065527088007,0.04526994011955655,0.0038078865529326427,2.0404999999999998,3.9945000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2.1271904716651413,audit_only_invalid_for_cross_protocol_ranking
